Unnamed: 0,user_id,user_name,user_description,tweet_id,content,quotedTweet_id,mentionedUsers,#quote,#retweet,#reply,#like
91429,591459541,ArcticCouncil,"The official account of the Arctic Council, promoting cooperation & interaction among Arctic States with the involvement of Arctic Indigenous Peoples since 1996",1498669100641439755,"The @IPCC_CH released its latest #climatereport, highlighting the Arctic as a hotspot of #climatechange.

The #Arctic is warming faster than the rest of the world, with serious environmental, economic and social implications in high latitudes &amp; beyond: https://t.co/0QhdhrAUZ4 https://t.co/mQO3xuM3HE",0,"[User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",6,69,5,131
91764,958192618940252160,DanielTurnerPTF,"Founder & Executive Director of @PowerTheFuture | Advocating for American energy, exposing the socialist radical green political movement. Views are my own.",1498634157475483651,"Biden’s #sotu tonight will be one gigantic lie.

Lie about #inflation. Lie about #crimewave. Lie about #BorderCrisis. Lie about #Ukraine. Lie about #climatechange. Lie about #EnergyIndependence. Lie about #COVID 

He knows the media will carry his water.",0,,4,76,15,328
91782,192942213,IPCC_CH,The Intergovernmental Panel on Climate Change #IPCC is the leading world body for the assessment of #climatechange. RT ≠ endorsement 🌍 👩🏿‍🔬👨🏾‍🔬,1498631334201368586,"Human-induced #climatechange is causing dangerous and widespread disruption in nature and affecting the lives of billions of people around the world, despite efforts to reduce the risks, says the latest #IPCC #ClimateReport. 
 
Read more ➡️ https://t.co/31XeCHTWQN https://t.co/wiWDBUPD6W",0,,248,1314,306,2010
91995,1160263164078022656,BeeAsMarine,"21 years old equity & environment activist with smile👄
Please keep following - PhD Candidate at @ENSAT_INP #OneTeam 🌊@BeeMouv 🇪🇺
change.org/SaveTheBee 🦋",1498606153168785408,"⚠️The @IPCC_CH report concludes it's no longer possible for ecosystems to fully adapt to #globalwarming impacts.
👉The @IPCC_CH warns on the Adaptation, Vulnerability to the #climatechange.
👉According to the #IPCC report, up to 29% of species will disappear at 3°C of warming. 😱 https://t.co/H1Ai36OLjz",0,"[User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",15,173,10,227
92023,959285621490515969,flyingbeast320,"Capt Airbus320, IIT KGP Alumni,Pro Bodybuilder, certified Nutritionist. Vlogger, Pursuing Law @ Faculty of Law, DU . Proud Indian",1498603315512242177,"Shot a video with @SadhguruJV ji on the #savesoil campaign.
We have only 60-65 harvests left on our agricultural lands, if we don’t act.
#climateChange 
@ishafoundation https://t.co/HdaMVNauhs",0,"[User(username='SadhguruJV', id=67611162, displayname='Sadhguru', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ishafoundation', id=19190337, displayname='Isha Foundation', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",44,676,85,6370
92032,1245158768003796992,bhiamie,"Euahlayi, Phd candidate, Research Associate, working-from-home-dad, coming to you from Goodooga",1498601637518397440,"Our ppls have been disproportionally impacted by the fires, and now these floods. It’s time that we got our collective heads together, and developed an Indigenous climate adaptation strategy. #climatechange #auspol",0,,1,34,6,168
92076,23638544,IUCN,"For over 70 years, IUCN has provided organisations with knowledge and resources needed to address environmental challenges and achieve sustainable development.",1498597786312396803,"Wetlands help us prepare for, cope with and bounce back from the impacts of #ClimateChange.

Learn more about one of our most valuable ecosystems https://t.co/t1h0AcIRdS https://t.co/cvdIPuAcR1",0,,4,60,3,162
92367,1491854442542641155,ClimeToken,1st Blockchain project that can help save the world through the power of the many Get returns on your investments while donating to Climate Change Organizations,1498554061230071811,"#GlobalWarming will make reforestation nearly impossible as temperature increases make it harder for trees to grow and thrive as they usually would.
⠀
#ClimateChange #ClimateCrisis #ClimateEmergency #ClimateActionNow #SavePlanetEarth #StopTheDecline 
⠀
https://t.co/DlP8YExVDS",0,,618,1565,980,1665
92426,2942361600,scott_saleska,"Ecosystem ecology and climate, from the Amazon to the Arctic. Proud Dad of 11th grader in public school.",1498541600258990080,"A disturbing juxtaposition in today's NYT:  a story on @IPCC_CH's new warning that ""time is running out"" on #ClimateChange vs the one about how #SCOTUS is on the verge of blocking the US @EPA from taking climate action. https://t.co/YMZujguuOR",0,"[User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EPA', id=14615871, displayname='U.S. EPA', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",9,101,17,184
92682,746689086,KyleaTink,"Let’s change the climate in Canberra. Graphic: Authorised by Kylea Tink. Level 14, 275 Alfred St, North Sydney, NSW, 2060 #TeamTink",1498478668196507648,"1/4 This is #climatechange.  It’s not coming, it’s here right now.  We’re living it, the extreme weather events we’ve been seeing just this past week in QLD and NSW – it’s all due to climate change.🧵",0,,2,48,3,191
92744,39002335,ellymelly,"Hey! :) I'm a writer/artist.
Like what you read? Consider supporting me on
❤ paypal.com/donate/?busine… ❤",1498462942479917056,"If the planet is about to end in a #ClimateChange apocalypse due to Carbon emissions - why isn't war banned?

It seems ordinary people aren't allowed to own a car but it's totally fine for the world's 'virtue-signalling' super powers to burn cities to the ground.

#IPCC #UN?",0,,52,53,175,202
93141,277431177,ymalhi,"Prof of Ecosystem Science, loves tropical forests; Director Leverhulme Centre for Nature Recovery; Trustee @NHM_London; President of  @BritishEcolSoc; CBE FRS",1498407048861605895,"Large wild animals attract lots of attention in #conservation and #rewilding, but what role can they play as #naturebasedsolutions to #climatechange? In our new review paper in @CurrentBiology we explore this question. FREE access here: https://t.co/JlEF78Pfyn https://t.co/rtYGAsFWT7",0,"[User(username='CurrentBiology', id=837693559, displayname='Current Biology', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",7,93,2,274
93397,2769994652,JCSvenning,"Ecologist w strong interest in global #biodiversity patterns & dynamics, ecosystem #restoration & #rewilding, human-nature interrelations, and #remotesensing",1498379679811751940,"Check our new review on the role of wild #megafauna in #climatechange mitigation &amp; adaptation, as a key element in #restoration efforts to benefit both #biodiversity &amp; #climate @CurrentBiology, by @ymalhi &amp; an amazing team https://t.co/lv03nqIL2O 🦬🐎🐘🌿🌍 #rewilding #carbon",0,"[User(username='CurrentBiology', id=837693559, displayname='Current Biology', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ymalhi', id=277431177, displayname='Yadvinder Malhi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",4,58,1,150
93466,840458011,co2ley,"Ocean climate change & acidification, #scicomm. IPCC AR6 WGII CLA, Oceans. Working for a safer, more equitable world for the next gen. She/her. Views my own.",1498372430766788611,"What does the new #IPCC #climatechange report say about #Ocean and #coastal systems?  Let’s dive in. A thread (1/15):

#ClimateAdaptation #AR6WG2CH3 https://t.co/sKB1CtJSd6",0,,15,238,12,514
93587,1411408431018299398,AqlilaA,climate change is changing our world and not in a good way 💚🌎 create climate awareness.,1498359389723500546,"💚🌍Some of us are victims of #climatechange, some of us lost loved ones and homes due to the #ClimateCrisis and some of us are #voices for #nature .we all have different reasons but the same goal and we will fight for it,our planet our home and our future 💚🌍#climateaction #🌍 https://t.co/eXsIH0vI3n",0,,7,108,11,314
94156,1043069201534119937,ConnectAID_int,The International #Solidarity Network is a #humanitarian social impact network dedicated to the #SDGs. With @gaellemogli & @adamrogers2030 - #SDGeneration,1498316188216139780,"The Intergovernmental Panel on #ClimateChange @IPCC_CH says that humans and #nature are being pushed beyond their abilities to adapt.

Over 40% of the world's population are ""highly vulnerable"" to #climate. While everyone is affected, some are being hit harder…
#ConnectAID #SDGs https://t.co/sFCfTvxoeS",0,"[User(username='IPCC_CH', id=192942213, displayname='IPCC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",13,132,12,212
94251,123231225,citizensclimate,"CCL is a nonpartisan, nonprofit, #GrassrootsClimate organization. Our volunteers lobby Congress for bipartisan climate solutions. Join your local chapter today!",1498310345412153346,"With the latest #IPCC report, on thing is absolutely clear: We cannot afford to squander the opportunity to enact effective solutions to #ClimateChange. Senate must pass a bill, and it should include a #PriceOnCarbon.

@bradplumer @zhonggg 
https://t.co/8CBa1LmGpk",0,"[User(username='bradplumer', id=15507433, displayname='brad plumer', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zhonggg', id=212167191, displayname='Raymond Zhong', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",17,177,35,325
94635,20820771,sacredbalance,Sacred Balance Project • created | Led by Juie Rami #storyteller 🎙 #science ~ #technology for total #wellbeing 🧘🏻‍♀️ #consciousplanet 🌎 #savesoil 🍀,1498284741841330179,"Check it out: https://t.co/xqrJ827SAH 

Join #Sadhguru on a journey to #savesoil ~ A Movement to create a more #ConsciousPlanet 🍀🌎 

#PlantATree #sustainability  #climatechange #ecofriendly #savetheplanet #zerowaste #earth #sustainable #gogreen #green  #eco https://t.co/MVae3LkMRg",0,,8,164,6,279
