Source,Target
907534014902390784,968760479987519488
907534014902390784,815187427614748672
907534014902390784,168607383
3431710900,14342564
3431710900,16245822
3307869009,3307869009
74447139,1480051292
48774028,1022127404
550342513,79962986
2597693048,748210002352017409
113062227,842679437263028226
913690691359924226,14159148
1324208764627550208,1053768884732547072
1328230121040347136,1322280106497314816
140137815,1478843840
140137815,32372834
2437422650,384923143
53435986,384923143
24290265,33933259
24290265,622886707
774328791606767617,14185317
93714983,102448827
1447138928570421256,1429514676648480781
1240094473637343232,1366425991220985862
1715151974,1006419421244678144
1715151974,15480686
1715151974,1053768884732547072
1715151974,229016226
1715151974,791812078730223616
2881236430,765510741411655680
38146999,104277809
3189885294,1006419421244678144
3189885294,1134059457191776257
3189885294,1087723402226487297
3189885294,1198157844
3189885294,4329928102
3189885294,2751501216
3189885294,1008688766062661632
95316081,216259394
95316081,1226458368
95316081,2558684772
95316081,1202483490
95316081,95316081
95316081,747741731836280832
95316081,2465797107
229045433,229045433
705687017,2839591813
705687017,203132018
362642209,612473
362642209,116798290
1647573157,278030604
113062227,1443221061189971973
113062227,14342564
113062227,11348282
113062227,1599799508
123231225,234374703
42210513,1195025771368239106
42210513,17463923
42210513,16544818
42210513,44330473
74447139,5120691
523433085,66312892
140137815,343267635
