Source,Target,Label
RNAKOfficial,Abrar_khawja,mentioned
IPBES,DrMoriartyY,mentioned
IPBES,ScienceMagazine,mentioned
KathrinBussmann,MichaelEMann,mentioned
hannah_rickman,wainwright_cm,quoted
NCSE,MichaelEMann,mentioned
KentPage,UNICEF,mentioned
KentPage,unicefssudan,mentioned
USAmbMex,JenGranholm,mentioned
csa_asc,environmentca,mentioned
CreativeScty,_GlobalCrisis_,mentioned
itsprettyjamie,treedefi,mentioned
KabilaObbo,GretaThunberg,mentioned
KabilaObbo,2020science,mentioned
KabilaObbo,Fridays4future,mentioned
KabilaObbo,JKSteinberger,mentioned
KabilaObbo,UNDPClimate,mentioned
ProfMarkMaslin,ebcripps,mentioned
UNEP,UN_News_Centre,mentioned
KambojAnanya,GretaThunberg,mentioned
KambojAnanya,vanessa_vash,mentioned
KambojAnanya,KaoHua3,mentioned
KambojAnanya,MonaPatelT,mentioned
KambojAnanya,mrEmTee,mentioned
KambojAnanya,ishdeep_kohli,mentioned
KambojAnanya,mnyomb1,mentioned
physiologyfish,Bouyoucos,mentioned
physiologyfish,SharkColin,mentioned
physiologyfish,GDSchwieterman,mentioned
physiologyfish,OrnellaWeideli,mentioned
physiologyfish,physiologyfish,mentioned
physiologyfish,MEPS_IR,mentioned
physiologyfish,TomVierus,mentioned
BAS_News,BAS_News,mentioned
StepanWood,lev_jf,mentioned
StepanWood,cafreeland,mentioned
ClimateComms,BBCNews,mentioned
ClimateComms,bbcdavideades,mentioned
JavierBlas,Dieter_Helm,mentioned
WMO,c3scds,mentioned
WMO,NOAA,mentioned
WMO,NASA,mentioned
WMO,BerkeleyEarth,mentioned
citizensclimate,Sen_JoeManchin,mentioned
nighealthwatch,COP26,mentioned
nighealthwatch,UNFCCC,mentioned
nighealthwatch,WBG_Climate,mentioned
nighealthwatch,VIhekweazu,mentioned
UNCCD,wef,mentioned
EcographyJourna,GBIF,mentioned
IPBES,CGIAR,mentioned
IPBES,CGIARclimate,mentioned
IPBES,columnfive,mentioned
UNBiodiversity,UN,mentioned
UNBiodiversity,UNEP,mentioned
UNBiodiversity,FAO,mentioned
BeAntiracism,chikonatie,mentioned
BeAntiracism,vanessa_vash,mentioned
WomensRightsTW,NGO_CSW_NY,mentioned
IPBES,IPBES,mentioned
IPBES,IPCC_CH,mentioned
mindingottawa,BillBlair,mentioned
mindingottawa,InsuranceBureau,mentioned
UNEP,WMO,mentioned
AlexWodak,simonahac,mentioned
AlexWodak,JulianCribb,mentioned
MikeNelson247,DenverChannel,mentioned
MikeNelson247,ClimateCentral,mentioned
JCSvenning,ecfricke,quoted
JCSvenning,ScienceMagazine,mentioned
JCSvenning,ecfricke,mentioned
Weather_West,RARohde,quoted
anttilip,NASAGISS,mentioned
AaravSeth_,ErikSolheim,mentioned
AaravSeth_,KaoHua3,mentioned
AaravSeth_,rwclimate,mentioned
AaravSeth_,WakioDorcas,mentioned
AaravSeth_,MyTreeTV,mentioned
AaravSeth_,ImandiU,mentioned
AaravSeth_,mnyomb1,mentioned
AaravSeth_,JanineClimate,mentioned
MikeNelson247,DenverChannel,mentioned
MikeNelson247,ametsoc,mentioned
MikeNelson247,ClimateCentral,mentioned
MikeNelson247,WeatherGeeks,mentioned
logan_pallin,CAOceanAlliance,mentioned
WMO,SMN_Argentina,mentioned
mindingottawa,s_guilbault,mentioned
mindingottawa,PrivyCouncilCA,mentioned
hollyanndoan,s_guilbeault,mentioned
SteveMisatih,lizwathuti,mentioned
COP26,SteveBackshall,mentioned
Caltrain,GavinNewsom,mentioned
SmartGrowthUK,BBCBreaking,quoted
WMO,CopernicusECMWF,mentioned
lubamba_arsene,u_jamaa,mentioned
lubamba_arsene,USAID,mentioned
lubamba_arsene,EmilyMaltmanUK,mentioned
lubamba_arsene,GuillaumeUERDC,mentioned
IPCC_CH,FrediOtto,mentioned
AaravSeth_,GretaThunberg,mentioned
AaravSeth_,vanessa_vash,mentioned
AaravSeth_,ExtinctionR,mentioned
AaravSeth_,NaomiAKlein,mentioned
AaravSeth_,AlexandriaV2005,mentioned
AaravSeth_,UNFCCC,mentioned
AaravSeth_,FridayForFuture,mentioned
AaravSeth_,KaoHua3,mentioned
AaravSeth_,mrEmTee,mentioned
AaravSeth_,mnyomb1,mentioned
AaravSeth_,KyraOser,mentioned
UNBiodiversity,UNBiodiversity,mentioned
UNBiodiversity,UNCCD,mentioned
UNBiodiversity,UNFCCC,mentioned
UNBiodiversity,ibrahimthiaw,mentioned
BrianEngh_Art,SGDinoDiscovery,mentioned
BrianEngh_Art,AndrewTracks,mentioned
ani_digital,ANI,mentioned
NASAClimate,NASA,mentioned
mindingottawa,GovCanNorth,mentioned
mindingottawa,stbstvdan,mentioned
hollyanndoan,GovCanNorth,mentioned
NayonSorkarBD,GretaThunberg,mentioned
NayonSorkarBD,SaveFutureBd,mentioned
ShikhaSeth17,GretaThunberg,mentioned
ShikhaSeth17,vanessa_vash,mentioned
ShikhaSeth17,rwclimate,mentioned
ShikhaSeth17,KaoHua3,mentioned
ShikhaSeth17,FFFIndia,mentioned
ShikhaSeth17,Fridays4future,mentioned
ShikhaSeth17,FFFMAPA,mentioned
ShikhaSeth17,Luisamneubauer,mentioned
ShikhaSeth17,NakabuyeHildaF,mentioned
ShikhaSeth17,eve_chantel,mentioned
ShikhaSeth17,ExtinctionR,mentioned
ShikhaSeth17,KyraOser,mentioned
Ronald_vanLoon,Ronald_vanLoon,mentioned
Ronald_vanLoon,simplilearn,mentioned
Ronald_vanLoon,ylecun,mentioned
Ronald_vanLoon,AndrewinContact,mentioned
anttilip,CopernicusECMWF,mentioned
WMO,metoffice,mentioned
Cardano,CardanoStiftung,quoted
Cardano,veritree_,mentioned
AlokSharma_RDG,UN,quoted
PastureForLife,Telegraph,mentioned
PastureForLife,emmagatten,mentioned
PastureForLife,SusFoodTrust,mentioned
PastureForLife,DefraGovUK,mentioned
NabulimeVanessa,GretaThunberg,mentioned
NavdanyaBija,drvandanashiva,mentioned
NavdanyaBija,JaitlyJaya,mentioned
NavdanyaBija,NavdanyaBija,mentioned
Lauratobin1,GhostPanther,mentioned
UNBiodiversity,UNDP,mentioned
UNBiodiversity,UNBiodiversity,mentioned
UNBiodiversity,unepwcmc,mentioned
Weather_West,dwallacewells,quoted
Weather_West,dwallacewells,mentioned
DrTedros,WHO,quoted
DrTedros,WHO,mentioned
